-21.9203 '    asusta          inthem          ' 'w*Q;b%'
-21.9482 '    mousto          erthec          ' '{6Q;b+'
-21.9597 '    fruste          nothei          ' 'p+Q;b!'
-21.9618 '    gsusta          onthem          ' 'q*Q;b%'
-21.9626 '    asusto          inthec          ' 'w*Q;b+'
-21.9677 '    asusth          inthed          ' 'w*Q;b,'
-21.9708 '    frusto          nothec          ' 'p+Q;b+'
-21.9733 '    gousto          orthec          ' 'q6Q;b+'
-21.9743 '    firstm          ntshea          ' 'p0V;b)'
-21.9816 '    firsth          ntshed          ' 'p0V;b,'
-21.9866 '    firsto          ntshec          ' 'p0V;b+'
-21.9872 '    frusta          nothem          ' 'p+Q;b%'
-21.9880 '    firste          ntshei          ' 'p0V;b!'
-21.9888 '    mousta          erthem          ' '{6Q;b%'
-21.9891 '    mousth          erthed          ' '{6Q;b,'
-21.9928 '    firsta          ntshem          ' 'p0V;b%'
-21.9935 '    gjusta          owthem          ' 'q3Q;b%'
-21.9936 '    mouste          erthei          ' '{6Q;b!'
-21.9963 '    frusti          nothee          ' 'p+Q;b-'
-21.9988 '    mousti          erthee          ' '{6Q;b-'
-22.0040 '    minute          etonei          ' '{0J=b!'
-22.0040 '    etonei          minute          ' 's-K&s-'
-22.0042 '    gsusto          onthec          ' 'q*Q;b+'
-22.0068 '    msusta          enthem          ' '{*Q;b%'
-22.0093 '    frusth          nothed          ' 'p+Q;b,'
-22.0093 '    gsusth          onthed          ' 'q*Q;b,'
-22.0133 '    asuste          inthei          ' 'w*Q;b!'
-22.0139 '    gousta          orthem          ' 'q6Q;b%'
-22.0140 '    firsti          ntshee          ' 'p0V;b-'
-22.0143 '    gousth          orthed          ' 'q6Q;b,'
-22.0187 '    gouste          orthei          ' 'q6Q;b!'
-22.0191 '    firstb          ntshen          ' 'p0V;b&'
-22.0239 '    gousti          orthee          ' 'q6Q;b-'
-22.0251 '    anotex          isnott          ' 'w7K<s<'
-22.0264 '    frusty          notheu          ' 'p+Q;b='
-22.0279 '    frustm          nothea          ' 'p+Q;b)'
-22.0290 '    frustb          nothen          ' 'p+Q;b&'
-22.0291 '    ntorei          finite          ' 'x-K:s-'
-22.0291 '    finite          ntorei          ' 'p0J!b!'
-22.0297 '    finiti          ntoree          ' 'p0J!b-'
-22.0297 '    ntoree          finiti          ' 'x-K:s!'
-22.0322 '    gjusti          owthee          ' 'q3Q;b-'
-22.0323 '    gjusto          owthec          ' 'q3Q;b+'
-22.0338 '    ntorem          finita          ' 'x-K:s)'
-22.0338 '    finita          ntorem          ' 'p0J!b%'
-22.0363 '    firstc          ntsheo          ' 'p0V;b''
-22.0399 '    dtooth          linted          ' 'r-K'b,'
-22.0414 '    ndusto          fythec          ' 'x=Q;b+'
-22.0434 '    gtooth          ointed          ' 'q-K'b,'
-22.0456 '    gjustb          owthen          ' 'q3Q;b&'
-22.0461 '    firstn          ntsheb          ' 'p0V;b*'
-22.0466 '    firstg          ntshek          ' 'p0V;b#'
-22.0468 '    mjusta          ewthem          ' '{3Q;b%'
-22.0470 '    andcam          isexpa          ' 'w7@+w)'
-22.0478 '    frustc          notheo          ' 'p+Q;b''
-22.0484 '    eruste          mothei          ' 's+Q;b!'
-22.0492 '    msusto          enthec          ' '{*Q;b+'
-22.0492 '    astoth          inuted          ' 'w*P'b,'
-22.0495 '    ntooth          finted          ' 'x-K'b,'
-22.0501 '    oruste          gothei          ' 'y+Q;b!'
-22.0533 '    anoten          isnotb          ' 'w7K<s*'
-22.0536 '    gjuste          owthei          ' 'q3Q;b!'
-22.0539 '    mostce          errori          ' '{6W<u!'
-22.0539 '    errori          mostce          ' 's+V'd-'
-22.0543 '    msusth          enthed          ' '{*Q;b,'
-22.0548 '    gsuste          onthei          ' 'q*Q;b!'
-22.0551 '    gjustm          owthea          ' 'q3Q;b)'
-22.0558 '    gjusth          owthed          ' 'q3Q;b,'
-22.0572 '    finith          ntored          ' 'p0J!b,'
-22.0573 '    esnoth          mnoted          ' 's*J'b,'
-22.0581 '    asfree          ingiti          ' 'w*B:s!'
-22.0583 '    mtooth          einted          ' '{-K'b,'
-22.0588 '    andtwo          iseofc          ' 'w7@<a+'
-22.0593 '    ndusti          fythee          ' 'x=Q;b-'
-22.0594 '    erusto          mothec          ' 's+Q;b+'
-22.0597 '    ashoth          inited          ' 'w*L'b,'
-22.0599 '    moustu          erthey          ' '{6Q;b1'
-22.0610 '    gjustu          owthey          ' 'q3Q;b1'
-22.0612 '    orusto          gothec          ' 'y+Q;b+'
-22.0634 '    linstm          dtohea          ' 'z0J;b)'
-22.0643 '    ndusta          fythem          ' 'x=Q;b%'
-22.0653 '    gjustn          owtheb          ' 'q3Q;b*'
-22.0659 '    asustu          inthey          ' 'w*Q;b1'
-22.0664 '    moutsi          ertobe          ' '{6Q<e-'
-22.0664 '    ertobe          moutsi          ' 's+P't!'
-22.0666 '    asnoth          inoted          ' 'w*J'b,'
-22.0670 '    mouspa          ertham          ' '{6Q;f%'
-22.0672 '    andcai          isexpe          ' 'w7@+w-'
-22.0688 '    asusti          inthee          ' 'w*Q;b-'
-22.0692 '    firstf          ntshej          ' 'p0V;b"'
-22.0700 '    etooth          minted          ' 's-K'b,'
-22.0702 '    anotem          isnota          ' 'w7K<s)'
-22.0702 '    aservi          indige          ' 'w*A:`-'
-22.0712 '    anotea          isnotm          ' 'w7K<s%'
-22.0718 '    ltduri          dience          ' 'z-@=d-'
-22.0718 '    dience          ltduri          ' 'r0A&u!'
-22.0719 '    einstm          mtohea          ' 's0J;b)'
-22.0720 '    dtorei          linite          ' 'r-K:s-'
-22.0720 '    linite          dtorei          ' 'z0J!b!'
-22.0726 '    dtoree          liniti          ' 'r-K:s!'
