-22.0051 '          inaddi          iveale    ' 'V?{%C-'
-22.0053 '          anaddi          aveale    ' '^?{%C-'
-22.0321 '          tparab          thewin    ' 'K!{3F&'
-22.0344 '          enaddi          eveale    ' 'Z?{%C-'
-22.0446 '          esaidi          ekelle    ' 'Z"{(C-'
-22.0462 '          ithhig          illmak    ' 'V%r)N#'
-22.0462 '          illmak          ithhig    ' 'V=v,F/'
-22.0501 '          ewtime          eoplei    ' 'Z&n(J!'
-22.0501 '          eoplei          ewtime    ' 'Z>j-B-'
-22.0634 '          inalfo          iveinc    ' 'V?{-A+'
-22.0657 '          ssaidi          skelle    ' 'L"{(C-'
-22.0668 '          ehawki          eperce    ' 'Z9{6L-'
-22.0670 '          eparab          ehewin    ' 'Z!{3F&'
-22.0738 '          nsaidi          nkelle    ' 'Q"{(C-'
-22.0762 '          shawai          sperie    ' 'L9{6F-'
-22.0818 '          onalfo          oveinc    ' 'P?{-A+'
-22.0824 '          twillb          tomidn    ' 'K&s-K&'
-22.0824 '          tomidn          twillb    ' 'K>w(C*'
-22.0851 '          ahawki          aperce    ' '^9{6L-'
-22.0852 '          thawai          tperie    ' 'K9{6F-'
-22.0852 '          sparab          shewin    ' 'L!{3F&'
-22.0858 '          nlawfi          nterne    ' 'Q={6A-'
-22.0860 '          ehawai          eperie    ' 'Z9{6F-'
-22.0910 '          rsaidi          rkelle    ' 'M"{(C-'
-22.0935 '          twillh          tomidd    ' 'K&s-K,'
-22.0936 '          alawab          aterin    ' '^={6F&'
-22.0939 '          yhawki          yperce    ' 'F9{6L-'
-22.0971 '          onaddi          oveale    ' 'P?{%C-'
-22.0974 '          tomide          twilli    ' 'K>w(C!'
-22.0974 '          twilli          tomide    ' 'K&s-K-'
-22.0991 '          dsaidi          dkelle    ' '["{(C-'
-22.0996 '          evario          enewac    ' 'Z'{3N+'
-22.0998 '          inadde          iveali    ' 'V?{%C!'
-22.1000 '          anadde          aveali    ' '^?{%C!'
-22.1016 '          ithlib          illian    ' 'V%r-N&'
-22.1016 '          illian          ithlib    ' 'V=v(F*'
-22.1045 '          dhawki          dperce    ' '[9{6L-'
-22.1077 '          ysaidi          ykelle    ' 'F"{(C-'
-22.1078 '          tsaidi          tkelle    ' 'K"{(C-'
-22.1087 '          elaide          etelli    ' 'Z={(C!'
-22.1101 '          tpacio          thefac    ' 'K!{"N+'
-22.1101 '          thawki          tperce    ' 'K9{6L-'
-22.1112 '          avario          anewac    ' '^'{3N+'
-22.1137 '          esaidu          ekelly    ' 'Z"{(C1'
-22.1140 '          evarie          enewai    ' 'Z'{3N!'
-22.1155 '          ohawki          operce    ' 'P9{6L-'
-22.1180 '          slaide          stelli    ' 'L={(C!'
-22.1185 '          enawab          everin    ' 'Z?{6F&'
-22.1206 '          shawki          sperce    ' 'L9{6L-'
-22.1208 '          nhawki          nperce    ' 'Q9{6L-'
-22.1210 '          evaria          enewam    ' 'Z'{3N%'
-22.1210 '          inalfa          iveinm    ' 'V?{-A%'
-22.1212 '          nhawai          nperie    ' 'Q9{6F-'
-22.1226 '          elawab          eterin    ' 'Z={6F&'
-22.1234 '          alaide          atelli    ' '^={(C!'
-22.1234 '          osavem          okesma    ' 'P"{7B)'
-22.1241 '          omplem          outima    ' 'P<j-B)'
-22.1241 '          outima          omplem    ' 'P$n(J%'
-22.1244 '          esaidc          ekello    ' 'Z"{(C''
-22.1248 '          illiam          ithlia    ' 'V=v(F)'
-22.1248 '          ithlia          illiam    ' 'V%r-N%'
-22.1252 '          nlaide          ntelli    ' 'Q={(C!'
-22.1256 '          avarie          anewai    ' '^'{3N!'
-22.1264 '          esaidm          ekella    ' 'Z"{(C)'
-22.1264 '          asavin          akesab    ' '^"{7N*'
-22.1265 '          ahawai          aperie    ' '^9{6F-'
-22.1271 '          inalfi          iveine    ' 'V?{-A-'
-22.1280 '          onawab          overin    ' 'P?{6F&'
-22.1281 '          ovario          onewac    ' 'P'{3N+'
-22.1291 '          enadde          eveali    ' 'Z?{%C!'
-22.1305 '          nlawab          nterin    ' 'Q={6F&'
-22.1308 '          ohadfo          opeanc    ' 'P9{%A+'
-22.1311 '          slawfi          sterne    ' 'L={6A-'
-22.1314 '          esaide          ekelli    ' 'Z"{(C!'
-22.1318 '          rhawki          rperce    ' 'M9{6L-'
-22.1320 '          enawin          everab    ' 'Z?{6N*'
